test_id,dispositivo,navegador,commit,fecha_utc,resultado,severidad,incidencia,evidencia,notas
ST-01,iPhone,,,,PENDIENTE,,,,
ST-02,iPhone,,,,PENDIENTE,,,,
ST-03,iPhone,,,,PENDIENTE,,,,
ST-04,iPhone,,,,PENDIENTE,,,,
ST-05,iPhone,,,,PENDIENTE,,,,
ST-06,iPhone,,,,PENDIENTE,,,,
ST-07,iPhone,,,,PENDIENTE,,,,
ST-08,iPhone,,,,PENDIENTE,,,,
ST-09,iPhone,,,,PENDIENTE,,,,
ST-10,iPhone,,,,PENDIENTE,,,,
ST-11,iPhone,,,,PENDIENTE,,,,
ST-12,iPhone,,,,PENDIENTE,,,,
ST-13,iPhone,,,,PENDIENTE,,,,
ST-14,iPhone,,,,PENDIENTE,,,,
ST-15,iPhone,,,,PENDIENTE,,,,
ST-16,iPhone,,,,PENDIENTE,,,,
ST-17,iPhone,,,,PENDIENTE,,,,
ST-18,iPhone,,,,PENDIENTE,,,,
ST-19,iPhone,,,,PENDIENTE,,,,
ST-20,iPhone,,,,PENDIENTE,,,,
ST-01,Android,,,,PENDIENTE,,,,
ST-02,Android,,,,PENDIENTE,,,,
ST-03,Android,,,,PENDIENTE,,,,
ST-04,Android,,,,PENDIENTE,,,,
ST-05,Android,,,,PENDIENTE,,,,
ST-06,Android,,,,PENDIENTE,,,,
ST-07,Android,,,,PENDIENTE,,,,
ST-08,Android,,,,PENDIENTE,,,,
ST-09,Android,,,,PENDIENTE,,,,
ST-10,Android,,,,PENDIENTE,,,,
ST-11,Android,,,,PENDIENTE,,,,
ST-12,Android,,,,PENDIENTE,,,,
ST-13,Android,,,,PENDIENTE,,,,
ST-14,Android,,,,PENDIENTE,,,,
ST-15,Android,,,,PENDIENTE,,,,
ST-16,Android,,,,PENDIENTE,,,,
ST-17,Android,,,,PENDIENTE,,,,
ST-18,Android,,,,PENDIENTE,,,,
ST-19,Android,,,,PENDIENTE,,,,
ST-20,Android,,,,PENDIENTE,,,,
ST-01,PC,,,,PENDIENTE,,,,
ST-02,PC,,,,PENDIENTE,,,,
ST-03,PC,,,,PENDIENTE,,,,
ST-04,PC,,,,PENDIENTE,,,,
ST-05,PC,,,,PENDIENTE,,,,
ST-06,PC,,,,PENDIENTE,,,,
ST-07,PC,,,,PENDIENTE,,,,
ST-08,PC,,,,PENDIENTE,,,,
ST-09,PC,,,,PENDIENTE,,,,
ST-10,PC,,,,PENDIENTE,,,,
ST-11,PC,,,,PENDIENTE,,,,
ST-12,PC,,,,PENDIENTE,,,,
ST-13,PC,,,,PENDIENTE,,,,
ST-14,PC,,,,PENDIENTE,,,,
ST-15,PC,,,,PENDIENTE,,,,
ST-16,PC,,,,PENDIENTE,,,,
ST-17,PC,,,,PENDIENTE,,,,
ST-18,PC,,,,PENDIENTE,,,,
ST-19,PC,,,,PENDIENTE,,,,
ST-20,PC,,,,PENDIENTE,,,,
